Task,Board Status,Who Actually Did It,Client-ish,Work Code,Period-ish,Proof or Comment,CRM Ref,Random Bucket
abc jun?? ack chk,In progress,GM,abc-1,ITR-ish,6/26,"ack mail 89123 mila; status move mat karna abhi",27AB-JUN,old-new
ABC old dupe - dont use,Done,grm,ABC Pvt,IT old,Jun26,"same thing as abc jun wala; COPY ONLY do not count",27AB-JUN,archive??
cedar DONE maybe,Done,Karan??,Cedar W.,tax rtn,June,"DONE label wrong; OTP pending; no ARN; file nahi hua",CDR-06,final-but-no
nova client calls IT work,Waiting,karan,Nova ret.,IT work,05-2026,"arn 29871 aa gaya but receipt wrong client folder me",NV-29871,Q7
MHT closed old client,Cancelled,G.S,Mehta trdrs,itr old,Apr26,"lost in CRM means client left; filing acknowledgement exists",MHT-0426,dead-but-proof
alpha monthly 3b,Backlog,grm,Alpha Mfg,3B,Jun-26,"submitted; ack misc folder; CRM status untouched",GST-AL-0626,AA
beta gst done??,Done,KS,Beta Log.,gst,06/26,"won auto-sync only; OTP pending; NOT SUBMITTED",GST-BE-0626,looks-done
gamma misc,Waiting,Ria,Gamma vent.,gst work,May26,"ARN 55GA confirmed; doc in wrong client folder",GST-GA-0526,Q7
zeta corp thing,Done,CS1,Zeta Bio,CFA,FY26,"done tag accidental; director KYC missing so keep open",CFA-Z-26,PD
eta board not moved,To do,CS1,Eta Mobility,mca stuff,FY26,"SRN received; actual submission complete; board stale",CFA-E-26,AA
stock sheet ???,Archived,ADM,Internal Ops,inv,Jul26,"latest is stk_jul_v7_reallylatest not Stock_Master_FINAL",INV-JUL,weird-new-location
agreement temp folder,In review,G-M,Horizon txtls,redline,Jul26,"client accepted; signed copy under legal/temp",CTR-HZ-01,Q7
